2021-04-02 12:48:35,531 INFO     receiver initiated
2021-04-02 12:48:35,532 INFO     socket bound to ('0.0.0.0', 8080)
2021-04-02 12:48:41,329 INFO     OUT ==> sending ack no. 59
2021-04-02 12:48:42,361 INFO     IN <== received packet num 59
2021-04-02 12:48:42,362 INFO     IO : 1149B written on file till now
2021-04-02 12:48:42,363 INFO     OUT ==> sending ack no. 1149
2021-04-02 12:48:42,379 INFO     IN <== received packet num 59
2021-04-02 12:48:42,380 INFO     OUT ==> sending ack no. 1149
2021-04-02 12:48:42,395 INFO     IN <== received packet num 1149
2021-04-02 12:48:42,396 INFO     IO : 2241B written on file till now
2021-04-02 12:48:42,397 INFO     OUT ==> sending ack no. 2241
